CODIGO,UBICACION,PRODUCTO,DESCRIPCION,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO,,,,,,,,,
S0343,,ESPIRAL,"ESPIRAL PARA CABLES, ORGANIZADOR DE CABOS, 2 MTS.",SCHNEIDER ELECTRIC,DXN3416B,1,,,,,,,,,,,,
S0344,AREA P3,ORGANIZADOR,"ORGANIZADOR ORIZONTAL DE CABLES PARA RACK DE 19"" DE 1 UNIDAD, NEGRO SEMI-MATE",LINKEDPRO,LPCM04,2,,,,,,,,,,,,
S0345,AREA P3,TOMACORRIENTE,"TOMACORRIENTE MULTIPLE HORIZONTAL, PARA RACK 19"", 1 UNIDAD. 8 CONTACTOS. NEGRO",LINKEDPRO,HTCM1U,2,,,,,,,,,,,,
S0346,AREA B,Papel protector,"Papel protector facil de despegar, transparente, 12 mm",EPSON,LC-4TBN9,1,,,,,,,,,,,,
S0347,AREA E,Clavija,"Clavija blindada, 2 polo, 3 hilos",VOLTECH,CLI-A,1,,,,,,,,,,,,
S0348,AREA E,Terminal,"Terminales de aislamiento ojillo, 1/4 amarilla, calibre 12-10",NIQMEX,45017,27,,,,,,,,,,,,
S0349,AREA B,Capa,"Capa platica repuesto, para Jacks del Patch Panels de impacto 110",PANDUIT,167275,57,,,,,,,,,,,,
S0350,AREA E,Pija,Pija para broca galvanizada 8 X 3/4,K-LATH,562008009D,84,,,,,,,,,,,,
S0351,AREA E,Tornillo,Tornilo para metal cabeza plana autoperforante 8 x 1/2,HILLMAN,48994,30,,,,,,,,,,,,
S0352,AREA E,TUERCA,conector de enlace de blindaje,3M,4460-D,1,,,,,,,,,,,,
S0353,AREA B,Tornillo,"Kit de  tornillos, arandelas y tuercas, enjauladas para sujetar equipos rack",LINKEDPRO,LPTAT12,274,,,,,,,,,,,,
S0354,AREA E,Conector,"Conector macho BNC, para cable coaxial",S / M,BNC,27,,,,,,,,,,,,
S0355,AREA E,Baterias,"Baterias 2 AA, azul",VOLTECK,AL-AA-D,5,,,,,,,,,,,,
S0356,,SALCHICHA,Cierre coenxión bajante optico c/Acop opt SC/SC,ALSAN,1035043,26,,,,,,,,,,,,
S0357,AREA EX,Hebilla,Hebilla,AERIALGRIP,201SS,-76,HAY 1 EN AREA EX,,,,,,,,,,,
S0358,AREA D,Conector,Conector Pre pulido para Fibr óptica,FHTEK,FPF-PAA-01,90,,,,,,,,,,,,
S0359,AREA P2,POE,"Adaptador PoE Ubiquiti Gigabit de 24 VDC, 0.3 A",UBIQUITINETWORKS,POE247WGWH,11,8,,,,,,,,,,,
S0360,,CABLE,"Cable de Alimentación para Inyectores POE24V, POE56V, POE-30G, N000000L034A,EPA5006GR, POE-24-12W-G, POE-24-12W.",MIMOSA NETWORKS,PCC53,8,,,,,,,,,,,,
S0361,AREA G,CINCHO,BRIDA DE ACERO,--,CT-203,15,,,,,,,,,,,,
S0362,AREA EX1,CABLE DE UTP,"CARRETE de cable UTP de 152.4 m, Cat5e, FTP, blindado, para intemperie, color negro, UL, color negro, para aplicaciones en video vigilancia, redes de datos. EXTERIORES",LINKEDPRO,PROCAT5EXT/500,2591,152.4 METROS,,,,,,,,,,,
S0363,AREA P3,CHAROLA,"Charola para Rack de 19"", 23 cm de Profundidad, 2U.",LINKEDPRO,SCH19/130,1,,,,,,,,,,,,
S0364,,CABLE DE CORRIENTE,Cable de Alimentación Eléctrica 110 - 240 VCA / 1.5 Mts de Distancia,HIKVISION,HIKACCORD,1,,,,,,,,,,,,
S0365,,POE,"Adaptador PoE Ubiquiti Gigabit de 24 VDC, 0.3 A, BLANCO, USADO",UBIQUITINETWORKS,POE247W,-1,,,,,,,,,,,,
S0366,,POE,"Adaptador PoE Ubiquiti de 24 VDC, 1.0 A, NEGRO",UBIQUITINETWORKS,POE2424W,3,,,,,,,,,,,,
S0367,AREA P1,ACOPLADOR,ACOPLADOR AZUL,--,--,75,250+,,,,,,,,,,,
S0368,AREA EX4,ABRAZADERA OMEGA,ABRAZADERA OMEGA 3/4,--,--,94,,,,,,,,,,,,
S0369,AREA EX4,ABRAZADERA,"ABRAZADERA OMEGA 1""",--,--,61,,,,,,,,,,,,
S0370,AREA EX3,ABRAZADERA,"ABRAZADERA OMEGA 1 1/2""",--,--,66,,,,,,,,,,,,
S0371,EXT 2,JUMPER,"Jumper de Fibra Óptica Duplex SCU/ SCU, color naranja, 3 metros",ICOPTIKS,JD516SCU/SCU03,10,,,45099,,,,,,,,,
S0372,EXT 2,JUMPER,"Jumper de Fibra Óptica SIMPLEX Monomodo LCU/SCU, color amarillo, 10 metros",ICOPTIKS,JD516LCU/SCU10,4,1,,22/06/2023,,,,,,,,,
S0373,EXT 2,JUMPER,"Jumper dúplex MONOMODO, LCU/LCU, AZUL, 5 M.",ICOPTIKS,JDA16LCU/LCU05,1,,,22/06/2023,,,,,,,,,
S0374,EXT 2,JUMPER,"Jumper dúplex, G.657 A2 2 mm LCU/SCU , AZUL, 3 M.",ICOPTIKS,JDA16LCU/SCU03,1,,,22/06/2023,,,,,,,,,
S0375,EXT 2,JUMPER,"Jumper dúplex G.657 A2 2 mm LCU/LCU, AZUL 20 M.",ICOPTIKS,JDA16LCU/LCU20,2,,,22/06/2023,,,,,,,,,
S0376,EXT 2,JUMPER,"JUMPERS MONOMODO DÚPLEX, SC/UPC-LC/UPC, AMARILLO, 20 M.",MEXFO SERV,FJ20SCU-LCU2000,1,,,22/06/2023,,,,,,,,,
S0377,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA, LCSPC-LCSPC, AMARILLO, 3.5 M",ALCATEL-LUCENT,C14-92605,10,2,,22/06/2023,,,,,,,,,
S0378,EXT 2,JUMPER,"JUMPER SC/UPC-LC/UPC DUPLEX MONOMODO, AZUL 30 M.",MEXFO SERV,FJ16SCULCU3000ED,1,,,22/06/2023,,,,,,,,,
S0379,EXT 2,JUMPER,"JUMPER MULTIMODO DUPLEX SC/UPC-LC/UPC, AZUL, 25 M.",MEXFO SERV,FJ16SCULCU2500ED,5,,,22/06/2023,,,,,,,,,
S0380,EXT 2,JUMPER,"JUMPER MULTIMODO  DUPLEX, SCU/SCU, AQUA 10 M.",MEXFO SERV,FJ20SCUSCU1000MD,2,,,22/06/2023,,,,,,,,,
S0381,EXT2,JUMPER,"JUMPER MULTIMODO DUPLEX SCU-LCU, AQUA 20 M.",MEXFO SERV,FJ20SCULCU2000DS,7,EXT,,22/06/2023,,,,,,,,,
S0382,EXT 2,JUMPER,"JUMPER MULTIMODO DUPLEX SC-SC, AQUA 2 M.",MEXFO SERV,FJ20SCUSCU200MD,1,,,22/06/2023,,,,,,,,,
S0383,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICAMULTIMODO  DUPLEX SC-SC, AQUA 15 M.",MEXF SERV,FJ20SCUSCU1500MD,7,EXT,,22/06/2023,,,,,,,,,
S0384,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX LCU-LCU, NARANJA 10 M.",SEXFO SERV,FJ16LCULCU1000LD,3,,,22/06/2023,,,,,,,,,
S0385,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX LC-LC, NARANJA 5 M.",MEXFO SERV,FJLCULCU500LD,1,,,22/06/2023,,,,,,,,,
S0386,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX SC-LC, NARANJA 15 M.",MEXFO SERV,FJ16SCULCU1500LD,1,,,22/06/2023,,,,,,,,,
S0387,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX LC-LC, NARANJA 20 M.",MEXFO SERV,FJ16LCULCU2000LD,2,,,22/06/2023,,,,,,,,,
S0388,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX SC-LC, NARANJA 30 M.",MEXFO SERV,FJ16SCULCU3000LD,3,1,,22/06/2023,,,,,,,,,
S0389,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX SC/LC, NARANJA 20 M.",MEXFO SERV,FJ16SCULCU2000LD,4,EXT,,22/06/2023,,,,,,,,,
S0390,EXT 2,JUMPER,"JUMPER DE FIBRA OPTICA MONOMODO DUPLEX SC/PC-LC/PC, NARANJA 20 M.",--,SCPCLCPCMM50,4,,,22/06/2023,,,,,,,,,
S0391,EXT 2,JUMPER,"Jumpers de Fibra Óptica Monomodo, LC/UPC-LC/UPC 9/125 SIMPLEX, AMARILLO 6 M.",OPTRONICS,OPJULCULCU09S0060RI2,3,,,22/06/2023,,,,,,,,,
S0392,EXT 2,JUMPER,"Jumpers de Fibra Óptica Monomodo, SC/UPC-SC/UPC 9/125 SIMPLEX, AMARILLO 15 M.",OPTRONICS,OPJUSCUSCU09S0150RI2,8,,,22/06/2023,,,,,,,,,
S0393,EXT 2,JUMPER,"Jumpers de Fibra Óptica Monomodo, LC/UPC-LC/UPC 9/125 SIMPLEX, AMARILLO 10 M.",OPTRONICS,OPJULCULCU09S0100RI2,39,26+13 EXT DIV.. EN 2 CAJAS,,22/06/2023,,,,,,,,,
S0394,EXT 2,JUMPER,"Jumpers de Fibra Óptica Monomodo, LC/UPC-SC/UPC 9/125 DUPLEX, AMARILLO 20 M.",OPTRONICS,OPJULCUSCU09D0200RI2,3,,,22/06/2023,,,,,,,,,
S0395,EXT 2,JUMPER,"jumper de fibra óptica dúplex monomodo, SC/UPC-LC/UPC  2.0mm, AMARILLO 15 M.",--,JUP-SC-LC,12,,,22/06/2023,,,,,,,,,
S0396,EXT 2,JUMPER,"jumper de fibra óptica dúplex monomodo, SC/UPC-LC/UPC , AMARILLO 15 M.",--,--,4,,,22/06/2023,,,,,,,,,
S0397,EXT 2,JUMPER,"jumper de fibra óptica dúplex monomodo, SC/UPC-LC/UPC  3.0mm, AMARILLO 3 M.",LSZH,G657A2,1,,,22/06/2023,,,,,,,,,
S0398,EXT 2,JUMPER,"jumper de fibra óptica dúplex monomodo, LC/UPC-LC/UPC  2.0mm, AMARILLO 2 M.",--,GYDT05GM008M,3,1,,22/06/2023,,,,,,,,,
S0399,EXT2,JUMPER,"jumper de fibra óptica simplex monomodo, LC FLEX-LC FLEX  2.0mm, AMARILLO 5 M.",CONDUMEX,T06166005,2,,,22/06/2023,,,,,,,,,
S0400,EXT 2,CABLE OPTICO,Cable Óptico Activo 100G QSFP28 a QSFP28 3m (10ft) - Compatible con Brocade QSFP28-100G-AOC-3M,--,QSFP28100GMEGA15M,2,,,22/06/2023,,,,,,,,,
S0401,EXT 2,JUMPER,"JUMPER 12 MPOH-MPOH MM 50/125, AQUA 15 M.",MEXFO SERV,FJ12M5M53C1500PB,15,,,22/06/2023,,,,,,,,,
S0402,EXT 2,JUMPER,"JUMPER LC/LC 10 G DPX PVC, AQUA ",--,852LL2023,3,,,22/06/2023,,,,,,,,,
S0403,EXT 2,JUMPER,"JUMPER LC/FC MONOMODO SIMPLEX, AMARILLO 5 M.",--,S/M,3,,,22/06/2023,,,,,,,,,
S0404,EXT 2,JUMPER,"JUMPER MONOMODO DUPLE, SC/UPC-LC/UPC, AZUL, 5 M.",MEXFO SERV,FJ16SCULCU500ED,2,,,22/06/2023,,,,,,,,,
S0405,EXT 2,JUMPER,"JUMPER LC/LC, AMARILLO 10 M.",--,3ECA1034LULU01003F,16,,,22/06/2023,,,,,,,,,
S0406,EXT 2,JUMPER,"JUMPER SIMPLE SC/SC, AMARILLO 5 M.",--,3ECA1034SUSU00509F,65,,,22/06/2023,,,,,,,,,
S0407,EXT 2,JUMPER,"JUMPER SIMPLEX LC/PC-LC/PC MULTIMODO, NARANJA 3 M.",GDJSEVIL,HUWC-14130297,4,,,22/06/2023,,,,,,,,,
S0408,EXT 2,JUMPER,"JUMPER MULTIMODO LC/PC-LC/PC, NARANJA 20 M.",JONHON,LHLCLCM2L20,8,,,22/06/2023,,,,,,,,,
S0409,EXT 2,JUMPER,"JUMPER SIMPLEX, LC/LC, AMARILLO 3 M.",S/N,3ECA1032LULU00301F,1,,,45099,,,,,,,,,
S0410,AREA B,PLACA CIEGA,PLACA CIEGA PARA CAJA DE CONEXIÓN TIPO FS,VOLTECK,PAFCI-S,4,,,45099,,,,,,,,,
S0411,AREA B,PLACA SENCILLA,PLACA SENCILLA PARA CAJA DE CONEXIÓN TIPO FS,VOLTECK,PAFSE-S,7,HAY 1 EN AREA B,,,,,,,,,,,
S0412,AREA OFICINA,ONU,"ONU, ECHOLIFE HG8310M, XPON TERMINAL, SC/UPC, EUROPEAN STANDARD ADAPTER",ECHOLIFE,HG8M8310MG01,-7,20,,,,,,,,,,,
S0413,AREA BAJ,MASTIL,MASTIL TELESCOPICO 9 MTS. C. 20,--,5419,6,,,12/07/2023,,,,,,,,,
S0414,AREA BAJ,MASTIL,MASTIL TELECOPICO 6 M. C. 20,--,5419,-5,HAY 2,,12/07/2023,,,,,,,,,
S0415,AREA A,CAUTIN,"CAUTIN TIPO LAPIZ PARA SOLDAR, NARANJA",TRUPER,CAU-45,1,,,13/07/2023,,,,,,,,,
S0416,AREA B,CABLE UTP,"CABLE UTP 4PR/24 STRANDED CAT5E, COLOR VERDE 1 M.",--,E243826,1,,,13/07/2023,,,,,,,,,
S0417,AREA B,CABLE," RJ45 a DB9, DB9 9 pines puerto serie macho a RJ45 hembra Cat5 Ethernet LAN Cable de consola 9.8 pies",STEREN,--,1,,,13/07/2023,,,,,,,,,
S0418,AREA B,CABLE UTP,Cable de Ethernet / Cable de conexión de red NK Copp Patch Cord Category 5e Red U,PANDUIT,NK5EPC7RDY,1,,,13/07/2023,,,,,,,,,
S0419,AREA B,CABLE,"Cable USB a RJ45, USB2.0 Macho a RJ45 Macho CAT5 Cable Plano de Consola Serie para Cisco Routers Switches para Cisco (Cisco) Routers, Huawei, Juniper, 3COM, Ruijie Routers/Switches",RICHER-R,E-228840,1,,,13/07/2023,,,,,,,,,
S0420,,CABLE,"Cable DB de 9 pines SVGA / VGA de 15 pines macho, NEGRO",TRIPP-LITE,--,1,,,13/07/2023,,,,,,,,,
S0421,AREA B,CABLE,"Cable DB de 9 pines SVGA / VGA de 9 pines macho, GRIS",NANKE,--,1,,,13/07/2023,,,,,,,,,
S0422,AREA B,CABLE,"TIPO B a DB9, DB9 9 pines puerto serie macho a TIPO B, NEGRO CONECTOR AZUL",--,--,1,,,13/07/2023,,,,,,,,,
S0423,AREA B,CABLE,Cable serie DB9 de 15 pies macho a macho RS232 recto a través de cable de datos de 9 pines,--,--,1,,,13/07/2023,,,,,,,,,
S0424,AREA B,CABLE,Convertidor USB A Serial Db9M,MANHATTAN,--,1,,,13/07/2023,,,,,,,,,
S0425,AREA A,CAMARA,"CAMARA, AUDIO POR COAXITRON / Turret TURBOHD 5 Megapixel / Angulo de vision 85.5° / Lente 2.8 mm / 30 mts IR EXIR / Exterior IP67 / 4 Tecnologías / Dwdr",EPCOM,E50TURBOG2/A,1,,,17/07/2023,,,,,,,,,
S0426,AREA E,CAMARA,Mini Cámara IP PT 2 Megapíxel / Wi-Fi / Seguimiento Inteligente / Audio de Dos Vías / Notificación Push / Ranura para Memoria / Uso en Interior,EZVIZ,C6N,1,,,17/07/2023,,,,,,,,,
S0427,AREA EX2,GABINETE,ORGANIZADOR VERTICAL MEDIANO D/CABLES 21UR,LINKEDPRO,LPCV21URM,2,,,06/09/2023,,,,,,,,,
S0428,AREA EX4,RACK,"RACK ABIERTO DE 19"", 24 UNIDADES, BASE TIPO L.PIEZA 1 DE 2",LINKEDPRO,EIRL5524,0,,,06/09/2023,,,,,,,,,
S0429,,RACK,"RACK ABIERTO DE 19"", 24 UNIDADES, BASE TIPO L. PIEZA 2 DE 2",LINKEDPRO,EIRL5524,0,,,06/09/2023,,,,,,,,,
S0430,AREA EX4,GABINETE,ORGANIZADOR VERTICAL GRANDE DE CABLES 24UR,LINKEDPRO,LPCV24URL,2,,,06/09/2023,,,,,,,,,
S0431,AREA B,PUNTAS,"PUNTAS PARA DESARMADOR PHILLIPS PH2,2"",50 PZS, TRUPER EXPERT",TRUPER,PUDE-1202-50,49,47,,45181,,,,,,,,,
S0432,AREA B,PINZAS,"PINZAS DE ELECTRICISTA MANGO BICOLOR DE 9""",TRUPER,T200-9XDR-14X6,-1,1,,45181,,,,,,,,,
S0433,AREA B,GUANTES,"GUANTES LIGEROS DE PIEL DE CABRA, BLANCOS, PARA INSTALACIÓN ELECTRICA",TRUPER,GU-725,1,,,45115,,,,,,,,,
S0434,AREA B,LLAVE,"LLAVE AJUSTABLE (PERICO) 6"" DOBLE GRIP",TRUPER,PET-6X,0,,,45181,,,,,,,,,
S0435,AREA B,MARTILLO,MARTILLO DE UÑA CURVA 16 OZ GRANALLADO,TRUPER,MA-16,0,,,45181,,,,,,,,,
S0436,AREA P3,RACK,"RACK ABIERTO DE 19"", 9 UNIDADES, PARA USO EN MESA, IDEAL EN INSTALACIONES TEMPORALES",LINKEDPRO,LPIR10U,1,,,06/09/2023,,,,,,,,,
S0437,AREA B,BOLSA,PORTAHERRAMIENTAS DE 26.6 X 26.8 CM NEGRO ,MCGUIRE NICHOLAS,866053,0,,,45181,,,,,,,,,
S0438,AREA B,PINZA,"PINZA DE CORTE DIAGONAL 6"" MGOS RECUBIERTOS",TRUPER,T202-6,2,,,45181,,,,,,,,,
S0439,AREA P3,ORGANIZADOR,"ORGANIZADOR DE CABLES PARA DOS UNIDADES DE RACK, CON TAPA METALICA ABATIBLE.",THELECOM,THE-004-0032-001-001,3,,,06/09/2023,,,,,,,,,
S0440,AREA EX1,CAJA PARA HERRAMIENTA,CAJA PARA HERRAMIENTA DEWALT-CAJA SUPERIOR ORGANIZADO,DEWALT,DWST17807,2,,,45181,,,,,,,,,
S0441,AREA EX1,SPLITTER,"SPLITTER 1X8, COLOR AZUL",S/M,S/M,104,,,06/09/2023,,,,,,,,,
S0442,,CINTA ADHESIVA,CINTA ADHESIVA 72MMX150MM,NAVITEK,245,9,,,13/09/2023,,,,,,,,,
S0443,,MASKING,"MASKING TAPE, 125 18MMX50M",NAVITEK,125,5,,,13/09/2023,,,,,,,,,
S0444,AREA EX5,CAJA NAP,CAJA TERMINAL OPTICA AEREA 1X8/SCU/PC (PANQUESITOS),FIBERHOME,1034611,24,HAY 1 EN EL AREA EX4 RESTO AREA BAJA,,13/09/2023,,,,,,,,,
S0445,AREA B,TAQUETE,TAQUETE DE FIJACIÓN PARA TODO TIPO DE MURO 5/16,ELPRO,TQ-02,390,346,,14/07/2023,,,,,,,,,
S0446,AREA OFICINA,PUNTO DE ACCESO,PUNTO DE ACCESO WI-FI 802.11 AC 2.03 GBP,GRANDSTREAM,GWN7624,1,,,15/09/2023,,,,,,,,,
S0447,AREA OFICINA,ONU,"ONU, TEMRINAL DE RED ÓPTICA",C-DATA,FD511G,-2,,,15/09/2023,,,,,,,,,
S0448,AREA OFICINA,ONU,"ONU, TERMINA DE RED ÓPTICA, XPON ONU",C-DATA,FD512XW,-44,,,15/09/2023,,,,,,,,,
S0449,AREA OFICINA,LECTOR DE CODIGO,LECTOR DE CODIGO DE BARRAS INALAMBRICO CON BASE DE CARGA ZK,ZKTECO,ZKB106,1,Se coloca atrás del lugar del ing. Cesar,,15/09/2023,,,,,,,,,
S0450,AREA B,PUNTAS PARA DESARMADOR,"PUNTAS PARA DESARMADOR INSERT BITS, PUNTA PLANA, 1/4""X2",TRUPER,P5-24,5,,,18/09/2023,,,,,,,,,
S0451,AREA B,NAVAJA,"NAVAJA ABATIBLE, CON CUCHILLAS, DOBLE BISEL PARA MAYOR RESISTENCIA Y CORTES PRECISOS",TRUPER,NV-6X,2,,,18/07/2023,,,,,,,,,
S0452,AREA BAJ,MASTIL,MASTIL TELESCOPICO 3 MTS. C. 20,,5419,-6,HAY 1,,,,,,,,,,,
S0453,AREA EX5,BRAZO,Brazo de Extensión 40 CM.,--,--,15,HAY 3,,17/11/2022,,,,,,,,,
S0454,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN DE 60 CM.,--,--,-21,HAY 16,,17/11/2022,,,,,,,,,
S0455,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN 1 METRO.,---,---,-1,,,17/11/2022,,,,,,,,,
S0456,AREA EX5,CARRETE DE FIBRA ÓPTICA,CARRETE DE FIBRA OPTICA 500 M. COLOR NEGRO,CONDUMEX,1052261,-1900,,,18/09/2023,,,,,,,,,
S0457,AREA EX5,PREFORMADO,"PREFORMADO PARA 12 HILOS, COLOR AMARILLO CHICO, 40 CM",---,---,497,Entraron 200,,18/04/2023,,,,,,,,,
S0458,AREA EX1,FLEJE,"FLEJE DE ACERO INOXIDABLE 15.8MM 5/8"" ROLLO DE 30.5M",OPTRONICS,---,-3,HAY 1 EN AREA EX,,01/06/2023,,,,,,,,,
S0459,AREA BAJ,PERTIGA,"PERTIGA DE FIBRA, COLOR NARANJA",----,---,0,,,01/02/2023,,,,,,,,,
S0460,AREA EX5,JOTA,"Herraje de Suspensión tipo J para fibra Mini ADSS Φ 6-8 mm, JOTA",LINKEDPRO,LPSCJH0608,24,,,25/08/2023,,,,,,,,,
S0461,AREA B,MANGA TERMICA,MANGA TERMICA,--,--,690,,,20/09/2023,,,,,,,,,
S0462,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M",ETERN,--,0,,,20/09/2023,,,,,,,,,
S0463,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",VIAKON,---,0,,,20/09/2023,,,,,,,,,
S0464,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",FIBERHOME,---,0,,,20/09/2023,,,,,,,,,
S0465,PROYECTOS,GABINETE,Gabinete Plástico para Exterior (IP65) de 160 x 160 x 90 mm Cierre por Tornillos.,TXPRO,TXG015TS,0,1 EN AREA D,,20/09/2023,,,,,,,,,
S0466,AREA BAJ-1,MARRO,"MARRO AZUL, 4 LIBRAS",STRIKE-SHIELD,MD-4FK,1,,,11/10/2023,,,,,,,,,
S0467,AREA BAJ-1,ROTOMARTILLO,ROTOMARTILLO AZUL,BOSCH,GBM-13,1,,,11/10/2023,,,,,,,,,
S0468,AREA B,CINTA PARA IMPRESORA,CINTA TZ PARA ROTULADORAS P-TOUCH ,BROTHER,TZE-241,2,,,45343,,,,,,,,,
S0469,AREA A,ROUTER,MODEM / ROUTER 300 MBPS WIRELES. NEGRO,HIKVISION,,6,,,14/10/2023,,,,,,,,,
S0470,AREA A,CAMARA,"CAMARA BLANCA, WHITE LIGHT DISTANCE: 40 M, 0.0005 LUX, 2.8 MM",HIKVISION,DS-2CE72UF3T-E,10,,,14/10/2023,,,,,,,,,
S0471,,CAMARA,"CAMARA BLANCA, 2.7-13.5 MM, 8MP/0.01 LUX @ (F 1.2, AGC ON), O LUX WITH IR",HIKVISION,DS-2CE19U1T-AIT3ZF,4,,,14/10/2023,,,,,,,,,
S0472,AREA OFICINA,ROUTEADOR,ROUTER,V-SOL,V2801SG,-7,1,,45184,,,,,,,,,
S0473,AREA EXT,PLACA,"PLACA DE PLASTICO CIEGA, LINEA OSIO,  COLOR BLANCO",VOLTECK,PPCI-OB,20,,,45348,,,,,,,,,
S0474,AREA EXT,CAJA DE CONTACTO,CAJA DE CONTACTO PARA CANALETA 3'X5' COLOR BLANCO,VOLTECK,CRU-3X5,19,,,45348,,,,,,,,,
S0475,AREA B,CONVERTIDOR,MODULO CONVERTIDOR DE SFP A ETHERNET 10/100/1000/Mbit/S,MIKROTIK,S-RJ01,2,,,45348,,,,,,,,,
S0476,AREA EX2,CONECTORES,FMC21201-2-SC/APC CONECTOR HUAWEI,HUAWEI,FMC2101-2,80,,,17/10/2023,,,,,,,,,
S0477,AREA ABAJO,ROSETA,ROSETA DE HUAWEI ,HUAWEI ,ATB3101-1B,9,HAY 3 EN EL AREA EX2,,17/10/2023,,,,,,,,,
S0478,AREA OFICINA,MULTIMETRO,"MULTIMETRO PARA MANTENIMIENTO INDUSTRIAL CON GANCHO, CONTIENE 2 PUNTAS PROBADORAS, 1 SONDA TERMOPAR, 1 ESTUCHE PARA TRANSPORTAR, 1 CORREA PARA COLGAR Y 1 PILA DE 9 V",TRUPER,MUT-202,1,Atrás del Ing. Cesar,,25/10/2023,,,,,,,,,
S0479,AREA BAJA,BOCINA,"BOCINA NEGRA 12"", Bluetooth, Alámbrico/Inalámbrico, 20W RMS, 13.600W PMPO, USB",DONKER,GEM-6112,2,,,05/08/2023,,,,,,,,,
S0480,AREA ARRIBA,FUSIONADORA,"FUSIONADORA NARAJANJA PARA 12 HILOS, CON 2 HOLDERS MODELO FHM-12U, 1 HOLDR MOD. FHM-GA Y CORTADORA FUJIKURA S503, EN CAJA LIKUS",SUMITOMO ELECTRIC,TYPE-Q102-M12,1,,,25/10/2023,,,,,,,,,
S0481,AREA BAJA,CAVADOR,CAVADOR AGRICOLA T/HERCULES MGO/FIBRA 48,TRUPER,CA-38,1,,,25/10/2023,,,,,,,,,
S0482,AREA BAJA,BARRETA,BARRETA DE PUNTA DE 1-1/4' X 1.75 MTS,TRUPER,BAP-150,1,,,25/10/2023,,,,,,,,,
S0483,AREA ARRIBA,GENERADOR,"GENERADOR AMARILLO 1600, CON CAPACIDAD DE 5.5 L",EVANS,G16MG03007,1,,,01/01/2023,,,,,,,,,
S0484,AREA OFICINA,TESTER,"PROVADOR DE VIDEO 4.3"" , Negro/Rojo, IPC TESTER, CONTIENE CARGADOR Y CABLES DE MEDICION",EPCOM,EPMONTVI4K,1,Atrás del Ing. Cesar,,01/01/2023,,,,,,,,,
S0485,AREA OFICINA,COMPUTADORA,"COMPUTADORA / LAPTOP, NEGRA DE 13""",DELL,DNXCBH2,1,,,01/01/2023,,,,,,,,,
S0486,AREA BAJA,ESCALERAS,"ESCALERAS / BURRITO, COLO AZUL",STRONGWELL,124106,2,HAY 1 ,,01/01/2023,,,,,,,,,
S0487,AREA BAJA,ESCALERAS,ESCALERAS / BURRITA COLOR GRIS DE 2.44 M.,CUPRUM,C-228717,2,HAY 1,,01/01/2023,,,,,,,,,
S0488,AREA BAJA,ESCALERAS,"ESCALERAS NARANJA, 300 LB. DE 8.53 M.",WERNER,113527,5,HAY 3,,01/01/2023,,,,,,,,,
S0489,AREA BAJA,ESCALERAS,"ESCALERAS COLOR GRIS, DE 8.53 M. ",ESCALUMEX,----,1,,,01/01/2023,,,,,,,,,
S0490,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, 70 CM. COLOR NARANJA",----,---,6,,,01/01/2023,,,,,,,,,
S0491,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA DE 33 CM.",BESTCONSUMER,059520,2,,,01/01/2023,,,,,,,,,
S0492,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA, DE 45 CM.",---,---,2,,,01/01/2023,,,,,,,,,
S0493,AREA BAJA,ALAMBRE GALVANIZADO,"ALAMBRE GALVANIZADO CAL. 16, POR KILO",----,01ALGA16,172,,,01/01/2023,,,,,,,,,
S0494,AREA BAJA,MESA,"MESA BLANCA, PARA FUSIONAR DE 120X60 CM.",DUNP,-----,1,,,01/01/2023,,,,,,,,,
S0495,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR NARANJA,---,---,1,,,01/01/2023,,,,,,,,,
S0496,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR ROJA,---,---,1,,,01/01/2023,,,,,,,,,
S0497,AREA BAJA,BANDOLA,"KIT DE BANDOLA, 1 BANDOLA TALLA 40 / CINTURON, COLO CAFE CON VERDE",TULMEX,5268,1,,,01/01/2023,,,,,,,,,
